Shop Name,latitude,longitude,Retailer Subtype,YTD Retailing Value,country,Opportunity
Yara Mallam Stores,10.0220499,8.8500482,Secondary,166.23318,Nigeria,Low Performer
EMEKA STORES,10.0221576,8.8501637,Secondary,214.36612,Nigeria,Low Performer
Mathew Provisions,10.0223253,8.8493768,Secondary,149.52996,Nigeria,Low Performer
CJ PHARMACY,10.0675794,6.1859017,Secondary,795.418302,Nigeria,High Performer
LOVETH MEDICINE STORE,10.0732293,12.6755283,Secondary,0.0,Nigeria,Dead Whitespace
OKEY PMS,10.0827415,6.1734437,Secondary,161.4018,Nigeria,Low Performer
JULIUS MEDICALS,10.0836138,6.1723963,Secondary,218.4105,Nigeria,Low Performer
RAHAMA  STORE,10.1330678,12.7294492,Secondary,0.0,Nigeria,Dead Whitespace
SOLID MEDICAL,10.2606236,13.2523844,Secondary,0.0,Nigeria,Dead Whitespace
SAHADA PHARMACY,10.2606338,13.2522413,Secondary,0.0,Nigeria,Dead Whitespace
USMANIYA PAT MED ST,10.2607778,13.2523813,Secondary,0.0,Nigeria,Dead Whitespace
ZIMAX PHARMACY,10.2607878,13.2523454,Secondary,0.0,Nigeria,Dead Whitespace
KHALISA PHARMACY,10.2608057,13.2523514,Secondary,0.0,Nigeria,Dead Whitespace
ABU STOP MEDICAL,10.2608059,13.2522588,Secondary,0.0,Nigeria,Dead Whitespace
AB PHARMACY,10.260812,13.2524475,Secondary,0.0,Nigeria,Dead Whitespace
JAHBAY PHARMACY,10.2608226,13.2524527,Secondary,0.0,Nigeria,Dead Whitespace
SULTAN MEDICINE STORE 3,10.2608298,13.2523428,Secondary,0.0,Nigeria,Dead Whitespace
NASARA MART PHARMACY,10.2608365,13.2525044,Secondary,0.0,Nigeria,Dead Whitespace
AHMED AHMED MED ST,10.2608738,13.2523449,Secondary,0.0,Nigeria,Dead Whitespace
NABILNAZ PMS,10.2608784,13.2523266,Secondary,0.0,Nigeria,Dead Whitespace
M.A RAHAMA CHEMIST,10.2609038,13.2523302,Secondary,0.0,Nigeria,Dead Whitespace
ZINOM PHARMACY,10.260924,13.2522439,Secondary,0.0,Nigeria,Dead Whitespace
MUSTAPHA PMS,10.2609373,13.2531204,Secondary,0.0,Nigeria,Dead Whitespace
HARUNA MED STORE,10.2609399,13.2523279,Secondary,0.0,Nigeria,Dead Whitespace
AUWAL MEDICAL STORE,10.2609536,13.2530859,Secondary,0.0,Nigeria,Dead Whitespace
DEBBY PMS,10.2609544,13.252384,Secondary,0.0,Nigeria,Dead Whitespace
SARASH PHARMACY,10.2609641,13.2524546,Secondary,0.0,Nigeria,Dead Whitespace
APPLE DRUG,10.2609885,13.252402,Secondary,0.0,Nigeria,Dead Whitespace
ABU YUSURA PMS,10.2609945,13.2533156,Secondary,0.0,Nigeria,Dead Whitespace
AA ALIYU PHARMACY  2,10.2609986,13.2527194,Secondary,0.0,Nigeria,Dead Whitespace
SOLID PHARMACY,10.2610019,13.2524123,Secondary,0.0,Nigeria,Dead Whitespace
CROWNSTAR PHARMACY,10.2610207,13.2523724,Secondary,0.0,Nigeria,Dead Whitespace
ZINOM PHARMACY 2,10.261022,13.2523156,Secondary,0.0,Nigeria,Dead Whitespace
AA ALIYU MEDICAL STORE,10.2610467,13.2526382,Secondary,0.0,Nigeria,Dead Whitespace
AA ALIYU 1 PHARMACY,10.2610473,13.2527475,Secondary,0.0,Nigeria,Dead Whitespace
ZANGO MEDICAL STORE,10.2610666,13.2531782,Secondary,0.0,Nigeria,Dead Whitespace
JIKNON MEDICAL STORE,10.2610823,13.2522176,Secondary,0.0,Nigeria,Dead Whitespace
IKWUSON PHARMACY,10.2610863,13.2520209,Secondary,0.0,Nigeria,Dead Whitespace
AA ALIYU PHARMACY 2,10.261093,13.2528284,Secondary,0.0,Nigeria,Dead Whitespace
I-CARE PHARMACY,10.2611032,13.2530708,Secondary,0.0,Nigeria,Dead Whitespace
HASKE PMS,10.261108,13.2531782,Secondary,0.0,Nigeria,Dead Whitespace
ABS PHARMACY,10.2611183,13.2529594,Secondary,0.0,Nigeria,Dead Whitespace
ADAMU TUMO PMS,10.2611254,13.2529493,Secondary,0.0,Nigeria,Dead Whitespace
HARRISON PMS,10.2611491,13.2530428,Secondary,0.0,Nigeria,Dead Whitespace
HAIDAR PHARMACY,10.2611631,13.2532292,Secondary,0.0,Nigeria,Dead Whitespace
JEWEL PMS,10.2611845,13.2521888,Secondary,0.0,Nigeria,Dead Whitespace
BUKARES PHARMACY,10.2611874,13.252969,Secondary,0.0,Nigeria,Dead Whitespace
EKENE MEDICAL STORE,10.2612225,13.2530866,Secondary,0.0,Nigeria,Dead Whitespace
HAIDAR PHARMACY,10.2612388,13.2532527,Secondary,0.0,Nigeria,Dead Whitespace
DOKORO PHARMACY  2,10.2612479,13.2534347,Secondary,0.0,Nigeria,Dead Whitespace
SB PMS,10.2612608,13.2528271,Secondary,0.0,Nigeria,Dead Whitespace
NASARAWO PMS,10.26128,13.2530164,Secondary,0.0,Nigeria,Dead Whitespace
ABU YUSURA MEDICAL STORE,10.2612857,13.2532167,Secondary,0.0,Nigeria,Dead Whitespace
ABU ASLAM MEDICINE STORE,10.261293,13.253284,Secondary,0.0,Nigeria,Dead Whitespace
SA'AB PHARMACEUTICAL,10.2612992,13.2532325,Secondary,0.0,Nigeria,Dead Whitespace
EJIKE MEDICAL STORE,10.2613062,13.253266,Secondary,0.0,Nigeria,Dead Whitespace
DA'U MEDICAL STORE,10.2613195,13.253221,Secondary,0.0,Nigeria,Dead Whitespace
RUFUSA MEDICINE STORE,10.2613235,13.2532093,Secondary,0.0,Nigeria,Dead Whitespace
SANTANA PHARMACY,10.2613237,13.2532663,Secondary,0.0,Nigeria,Dead Whitespace
DANBAUCHI PHARMACY,10.2613286,13.253232,Secondary,0.0,Nigeria,Dead Whitespace
FAHRAN MEDICINE STORE,10.2613314,13.2531925,Secondary,0.0,Nigeria,Dead Whitespace
BUKARES PHARMACY  2,10.2613438,13.2532695,Secondary,0.0,Nigeria,Dead Whitespace
ADDAWAWU PHARMACY,10.2613439,13.2532671,Secondary,0.0,Nigeria,Dead Whitespace
MDY MEDICAL STORE,10.2613498,13.2532146,Secondary,0.0,Nigeria,Dead Whitespace
